ratio1_Esch_coli_14EC033_NODE_4_length_36811_cov_44.463652_1	gb|AAC75429.1|ARO:3000833|evgS	98.1	1091	21	0	1	1091	107	1197	0.0	2121	1092	1197
ratio1_Esch_coli_14EC033_NODE_22_length_21336_cov_56.558479_12	gb|ABV18113.1|ARO:3001329|mdtG	100	408	0	0	1	408	1	408	7.38e-288	777	409	408
ratio1_Esch_coli_14EC033_NODE_22_length_21336_cov_56.558479_24	gb|AAC74149.2|ARO:3001216|mdtH	100	402	0	0	2	403	1	402	7.14e-290	782	404	402
ratio1_Esch_coli_14EC033_NODE_44_length_17080_cov_88.590426_18	gb|AAC76296.1|ARO:3000656|AcrS	96.2	78	3	0	1	78	143	220	7.74e-51	155	79	220
ratio1_Esch_coli_14EC033_NODE_45_length_16933_cov_60.979500_1	gb|BAE78082.1|ARO:3003550|mdtP	100	105	0	0	1	105	384	488	2.04e-61	191	106	488
ratio1_Esch_coli_14EC033_NODE_49_length_16336_cov_60.593145_11	gb|AFH35853.1|ARO:3001328|Ecol_mdfA	97.1	410	12	0	1	410	1	410	6.22e-281	760	411	410
ratio1_Esch_coli_14EC033_NODE_60_length_15087_cov_68.461349_7	gb|AAC75731.1|ARO:3000516|emrR	100	176	0	0	1	176	1	176	2.27e-125	347	177	176
ratio1_Esch_coli_14EC033_NODE_60_length_15087_cov_68.461349_8	gb|BAA16547.1|ARO:3000027|emrA	99.7	390	1	0	1	390	1	390	1.03e-262	712	391	390
ratio1_Esch_coli_14EC033_NODE_60_length_15087_cov_68.461349_9	gb|AAC75733.1|ARO:3000074|emrB	100	512	0	0	1	512	1	512	0.0	998	513	512
ratio1_Esch_coli_14EC033_NODE_67_length_14466_cov_58.334814_9	gb|AAC75271.1|ARO:3003952|YojI	100	547	0	0	1	547	1	547	0.0	1058	548	547
ratio1_Esch_coli_14EC033_NODE_91_length_13082_cov_65.668535_10	gb|AAC77110.1|ARO:3004290|Ecol_ampC_BLA	98.4	377	6	0	12	388	1	377	1.81e-282	761	389	377
